n:112 mse_avg:1172.90 mse_y:1748.52 mse_u:21.03 mse_v:22.32 psnr_avg:17.44 psnr_y:15.70 psnr_u:34.90 psnr_v:34.64 
n:113 mse_avg:1217.17 mse_y:1814.34 mse_u:22.04 mse_v:23.64 psnr_avg:17.28 psnr_y:15.54 psnr_u:34.70 psnr_v:34.39 
n:114 mse_avg:1239.80 mse_y:1848.05 mse_u:22.49 mse_v:24.15 psnr_avg:17.20 psnr_y:15.46 psnr_u:34.61 psnr_v:34.30 
n:115 mse_avg:1259.36 mse_y:1877.06 mse_u:23.18 mse_v:24.78 psnr_avg:17.13 psnr_y:15.40 psnr_u:34.48 psnr_v:34.19 
n:116 mse_avg:1264.32 mse_y:1884.56 mse_u:22.95 mse_v:24.74 psnr_avg:17.11 psnr_y:15.38 psnr_u:34.52 psnr_v:34.20 
n:117 mse_avg:1270.33 mse_y:1893.52 mse_u:23.12 mse_v:24.79 psnr_avg:17.09 psnr_y:15.36 psnr_u:34.49 psnr_v:34.19 
n:118 mse_avg:1250.76 mse_y:1864.06 mse_u:23.44 mse_v:24.87 psnr_avg:17.16 psnr_y:15.43 psnr_u:34.43 psnr_v:34.17 
n:119 mse_avg:1277.11 mse_y:1903.18 mse_u:24.16 mse_v:25.79 psnr_avg:17.07 psnr_y:15.34 psnr_u:34.30 psnr_v:34.02 
n:120 mse_avg:1328.45 mse_y:1979.21 mse_u:25.97 mse_v:27.87 psnr_avg:16.90 psnr_y:15.17 psnr_u:33.99 psnr_v:33.68 
n:121 mse_avg:1432.69 mse_y:2133.71 mse_u:28.94 mse_v:32.32 psnr_avg:16.57 psnr_y:14.84 psnr_u:33.52 psnr_v:33.04 
n:122 mse_avg:1462.06 mse_y:2177.56 mse_u:29.14 mse_v:32.98 psnr_avg:16.48 psnr_y:14.75 psnr_u:33.49 psnr_v:32.95 
n:123 mse_avg:1522.20 mse_y:2267.19 mse_u:29.93 mse_v:34.51 psnr_avg:16.31 psnr_y:14.58 psnr_u:33.37 psnr_v:32.75 
n:124 mse_avg:1536.61 mse_y:2288.98 mse_u:29.83 mse_v:33.89 psnr_avg:16.27 psnr_y:14.53 psnr_u:33.38 psnr_v:32.83 
n:125 mse_avg:1599.32 mse_y:2382.97 mse_u:29.87 mse_v:34.18 psnr_avg:16.09 psnr_y:14.36 psnr_u:33.38 psnr_v:32.79 
n:126 mse_avg:1650.52 mse_y:2459.34 mse_u:30.30 mse_v:35.43 psnr_avg:15.95 psnr_y:14.22 psnr_u:33.32 psnr_v:32.64 
n:127 mse_avg:1775.52 mse_y:2645.88 mse_u:32.04 mse_v:37.55 psnr_avg:15.64 psnr_y:13.91 psnr_u:33.07 psnr_v:32.38 
n:128 mse_avg:1799.63 mse_y:2682.06 mse_u:32.31 mse_v:37.25 psnr_avg:15.58 psnr_y:13.85 psnr_u:33.04 psnr_v:32.42 
n:129 mse_avg:1772.52 mse_y:2641.63 mse_u:31.64 mse_v:36.98 psnr_avg:15.64 psnr_y:13.91 psnr_u:33.13 psnr_v:32.45 
n:130 mse_avg:1799.24 mse_y:2681.73 mse_u:31.96 mse_v:36.55 psnr_avg:15.58 psnr_y:13.85 psnr_u:33.09 psnr_v:32.50 
n:131 mse_avg:1757.20 mse_y:2619.09 mse_u:31.45 mse_v:35.42 psnr_avg:15.68 psnr_y:13.95 psnr_u:33.15 psnr_v:32.64 
n:132 mse_avg:1715.61 mse_y:2557.19 mse_u:30.75 mse_v:34.13 psnr_avg:15.79 psnr_y:14.05 psnr_u:33.25 psnr_v:32.80 
n:133 mse_avg:1741.30 mse_y:2596.08 mse_u:29.59 mse_v:33.90 psnr_avg:15.72 psnr_y:13.99 psnr_u:33.42 psnr_v:32.83 
n:134 mse_avg:1789.00 mse_y:2667.61 mse_u:29.56 mse_v:34.01 psnr_avg:15.60 psnr_y:13.87 psnr_u:33.42 psnr_v:32.82 
n:135 mse_avg:1810.20 mse_y:2699.25 mse_u:29.75 mse_v:34.46 psnr_avg:15.55 psnr_y:13.82 psnr_u:33.40 psnr_v:32.76 
n:136 mse_avg:1794.57 mse_y:2675.74 mse_u:30.03 mse_v:34.43 psnr_avg:15.59 psnr_y:13.86 psnr_u:33.35 psnr_v:32.76 
n:137 mse_avg:1795.80 mse_y:2677.72 mse_u:29.64 mse_v:34.31 psnr_avg:15.59 psnr_y:13.85 psnr_u:33.41 psnr_v:32.78 
n:138 mse_avg:1799.46 mse_y:2683.12 mse_u:29.51 mse_v:34.75 psnr_avg:15.58 psnr_y:13.84 psnr_u:33.43 psnr_v:32.72 
n:139 mse_avg:1763.10 mse_y:2628.57 mse_u:29.45 mse_v:34.88 psnr_avg:15.67 psnr_y:13.93 psnr_u:33.44 psnr_v:32.70 
n:140 mse_avg:1730.74 mse_y:2580.09 mse_u:29.28 mse_v:34.81 psnr_avg:15.75 psnr_y:14.01 psnr_u:33.47 psnr_v:32.71 
n:141 mse_avg:1703.70 mse_y:2539.62 mse_u:28.85 mse_v:34.89 psnr_avg:15.82 psnr_y:14.08 psnr_u:33.53 psnr_v:32.70 
n:142 mse_avg:1704.48 mse_y:2540.79 mse_u:28.99 mse_v:34.75 psnr_avg:15.81 psnr_y:14.08 psnr_u:33.51 psnr_v:32.72 
n:143 mse_avg:1710.47 mse_y:2549.66 mse_u:29.13 mse_v:35.05 psnr_avg:15.80 psnr_y:14.07 psnr_u:33.49 psnr_v:32.68 
